image_id,annotation_id,class,canonical_area_px,adapter_mask_iou,adapter_geometry_type,connected_components,hole_count,matched,mask_iou,confidence,predicted_area_px,false_positive_px,false_negative_px,relative_area_error,gt_normalized_contribution,band,automatic_flags,contested_fraction,overlap_resolved_iou,false_negative_contested_share
xEWKVpjbfnBH9kQEaUbB,1955,person,1264,0.912462908,CANONICAL_RLE,2,0,True,0.51796,0.332049,849,128,543,-0.328323,0.51796,MODERATE_MASK,UNDERSEGMENTATION,0.0,0.51796,0.0
xEWKVpjbfnBH9kQEaUbB,1956,person,10201,0.978349515,CANONICAL_RLE,1,0,True,0.833813,0.913275,12078,1948,71,0.184002,0.833813,HIGH_QUALITY_MASK,UNATTRIBUTED,0.0,0.833813,0.0
xEWKVpjbfnBH9kQEaUbB,1957,person,2494,0.939511439,CANONICAL_RLE,1,0,True,0.72473,0.729264,2932,652,214,0.175621,0.72473,MODERATE_MASK,BOUNDARY_ERROR,0.0,0.72473,0.0
xEWKVpjbfnBH9kQEaUbB,1958,person,1100,0.917606245,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.0,0.0,
xEWKVpjbfnBH9kQEaUbB,1959,person,1665,0.88876591,CANONICAL_RLE,5,0,True,0.307059,0.920591,5316,3676,25,2.192793,0.307059,LOW_OVERLAP_MASK,OVERSEGMENTATION;ADAPTER_FIDELITY_RISK,0.0,0.11958,0.0
xEWKVpjbfnBH9kQEaUbB,1960,person,4009,0.934254407,CANONICAL_RLE,2,1,True,0.302374,0.897981,13056,9094,47,2.256672,0.302374,LOW_OVERLAP_MASK,OVERSEGMENTATION,0.0,0.302374,0.0
xEWKVpjbfnBH9kQEaUbB,1961,person,784,0.91097561,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,TINY_MASK_ASSOCIATED,0.0,0.0,
xEWKVpjbfnBH9kQEaUbB,1962,person,224,0.904958678,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,TINY_MASK_ASSOCIATED,0.0,0.0,
xEWKVpjbfnBH9kQEaUbB,1963,person,1005,0.943579767,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,TINY_MASK_ASSOCIATED,0.0,0.0,
xEWKVpjbfnBH9kQEaUbB,1964,person,1025,0.927289896,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.0,0.0,
xEWKVpjbfnBH9kQEaUbB,1965,person,1413,0.94254446,CANONICAL_RLE,1,0,True,0.74359,0.290453,1579,303,137,0.117481,0.74359,MODERATE_MASK,BOUNDARY_ERROR,0.0,0.74359,0.0
xEWKVpjbfnBH9kQEaUbB,1966,person,877,0.924861878,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,TINY_MASK_ASSOCIATED,0.0,0.0,
yE5PdkrjifxbV7QoD5xc,2011,person,65114,0.982575346,CANONICAL_POLYGON,2,0,True,0.851975,0.447315,60837,2895,7172,-0.065685,0.851975,HIGH_QUALITY_MASK,UNATTRIBUTED,0.0,0.851975,0.0
ywH2LFvRJto6sV68hk5v,2018,person,224795,0.993353133,CANONICAL_POLYGON,1,0,True,0.683189,0.9363,155705,1264,70354,-0.307347,0.683189,MODERATE_MASK,UNDERSEGMENTATION,0.284779,0.770921,0.672997
ywH2LFvRJto6sV68hk5v,2019,helmet_on_head,15419,0.982723448,CANONICAL_POLYGON,1,0,True,0.94859,0.922497,16154,784,49,0.047668,0.94859,HIGH_QUALITY_MASK,UNATTRIBUTED,0.98437,0.94859,0.489796
ywH2LFvRJto6sV68hk5v,2020,vest_on_body,40951,0.984033472,CANONICAL_POLYGON,1,0,True,0.412132,0.616685,69184,37041,8808,0.689434,0.412132,LOW_OVERLAP_MASK,OVERSEGMENTATION,0.985324,0.412132,0.950159
ywH2LFvRJto6sV68hk5v,2021,vest_on_body,8475,0.954792043,CANONICAL_POLYGON,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.988909,0.0,
ywH2LFvRJto6sV68hk5v,2022,vest_on_body,164,0.784688995,CANONICAL_POLYGON,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,TINY_MASK_ASSOCIATED;ADAPTER_FIDELITY_RISK,0.658537,0.0,
