experiment_id,role,overall_validation_rank,intentional_variable,model,imgsz,batch,supported_macro_map50_95,delta_vs_D0,margin_status,all_class_map50_95,mAP50,precision,recall,best_epoch,checkpoint_sha256,experiment_sha256
D0,REFERENCE_BASELINE,2,NONE_REFERENCE,YOLO11n,640,16,0.570142,0.0,REFERENCE,0.464429,0.619373,0.855680,0.539992,67,30288fbc3abe60ce1713fdb430feb2e1a3716dcf4b52b80d26a9b2aea1ca5c34,cbd79fd2f2f70eb31ede61b813f991e973bb5d2f69c223a3826ee6aeadd0ffb3
D1,CONTROLLED_EXPERIMENT,3,MODEL_CAPACITY,YOLO11s,640,16,0.560017,-0.010125,BELOW_D0,0.471114,0.618243,0.859640,0.527798,73,a933196ee15bc369fa1ea682986d892f06b52ebd8086ce027ae4604856640717,0589d4c0dabedfe0e6c72da3d248883d750347ce60b122b71aaa44e939158503
D2,CONTROLLED_EXPERIMENT,1,INPUT_RESOLUTION,YOLO11n,768,16,0.594018,0.023876,IMPROVES_D0_BEYOND_MARGIN,0.490386,0.646304,0.926331,0.516549,90,0466f872a9de22898c70d8834cf1fcfb3d77f6c9fb27e81ee6248d3d19cbc206,8417f64f3c01c8994291f1fb58837059a9db6a814fd5dbbb955a44dcc1979685
