experiment_id,overlap_mask,canonical_supported_macro_mask_map50_95,delta_vs_S0,margin_status,canonical_all_class_map50_95,canonical_map50,direct_gt_normalized_mask_iou,direct_matched_mask_iou,native_mask_map50_95,best_epoch,checkpoint_sha256,experiment_sha256,selected
S0,True,0.484643,0.0,REFERENCE,0.388009,0.537536,0.556977,0.717462,0.407942,59,d7b512b95fafdc8658fd802459d2c87d9ad3f11f922162a774dacf8ca75b87a3,1761007ab1fd3937a56a870618c11115307988f2031598980e8dfea0e218f7bc,False
S1,False,0.559463,0.07482,S1_IMPROVES_S0_BEYOND_MARGIN,0.455034,0.634023,0.635356,0.794849,0.458206,77,29337d671459d0f742fb713613cc41d0eafcb8a21f5846ac0da65b2ffc024f20,d14b98fbea6402691245037a296a7da4c040299535c2743d994b65a58acaa402,True
