metric,scope,D2,S1,delta_S1_minus_D2,status
CANONICAL_BOX_MAP50_95,all_class,0.48539,0.505682,0.020292,COMPARISON_REPORTED
CANONICAL_BOX_MAP50,all_class,0.641107,0.692955,0.051848,COMPARISON_REPORTED
CANONICAL_BOX_AP50_95,helmet_loose,0.767262,0.748577,-0.018685,COMPARISON_REPORTED
CANONICAL_BOX_AP50_95,helmet_on_head,0.628022,0.629018,0.000996,COMPARISON_REPORTED
CANONICAL_BOX_AP50_95,person,0.485281,0.517231,0.03195,COMPARISON_REPORTED
CANONICAL_BOX_AP50_95,vest_loose,0.068034,0.201654,0.13362,DESCRIPTIVE_HIGH_UNCERTAINTY
CANONICAL_BOX_AP50_95,vest_on_body,0.47835,0.431929,-0.046421,COMPARISON_REPORTED
