candidate_id,rank,train_images,validation_images,test_images,train_groups,validation_groups,test_groups,train_negatives,validation_negatives,test_negatives,train_vest_loose_images,validation_vest_loose_images,test_vest_loose_images,train_vest_loose_instances,validation_vest_loose_instances,test_vest_loose_instances,image_class_balance_error,instance_class_balance_error,negative_balance_error,size_error,total_objective,candidate_assignment_sha256,search_origin_start,vest_loose_family,family_best,distribution_warning
candidate_001,1,303,65,65,294,63,65,10,2,2,5,1,2,30,8,7,0.070263,0.023392,0.038549,0.0,0.132203,081c39e729697f081302fc809eb4b78fff6450e910df254b88f311d623aa1fbe,2,5/1/2,true,
candidate_002,2,303,65,65,293,65,64,10,2,2,5,1,2,33,8,4,0.071737,0.050724,0.038549,0.0,0.16101,aa357d6f7bd7740ef28063ccd2aee47d6be72b92f3b5917759f442499b89b55c,36,5/1/2,false,
candidate_003,3,303,65,65,295,64,63,10,2,2,5,1,2,33,3,9,0.072684,0.066373,0.038549,0.0,0.177606,0415850581e7412805acd4c2a9c3a1f469ff86053276f168feb76008b79d8b65,40,5/1/2,false,
candidate_004,4,303,65,65,296,62,64,10,2,2,5,1,2,33,3,9,0.072865,0.070671,0.038549,0.0,0.182085,6c7d33a49bfa226cbbd30b43798285e33f66fc5e4c3a5dadb9eaa998b9f8afe3,61,5/1/2,false,
candidate_005,5,303,65,65,293,65,64,10,2,2,5,1,2,30,4,11,0.070263,0.077607,0.038549,0.0,0.186418,b026fef61ab619667ab6e5bd490cfd43862433a2ccab824ebc38500197fca9de,5,5/1/2,false,
candidate_006,6,303,65,65,293,65,64,10,2,2,4,2,2,27,7,11,0.117674,0.057455,0.038549,0.0,0.213679,fd051d520670be521bae3b7100e035615df12659745ad1ca2cbbd75577756e4c,27,4/2/2,true,
